City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,45.05,78,100,14.83,NZ,2023-07-27
1,adamstown,-25.066,-130.1015,67.39,61,29,12.01,PN,2023-07-27
2,setubal,38.5244,-8.8882,65.17,90,6,10.33,PT,2023-07-27
3,mejit,10.2753,170.8646,82.63,80,100,16.35,MH,2023-07-27
4,beitbridge,-22.2167,30.0,55.83,70,6,3.51,ZW,2023-07-27
5,puerto natales,-51.7236,-72.4875,28.69,93,100,2.51,CL,2023-07-27
6,bilibino,68.0546,166.4372,52.43,69,100,3.6,RU,2023-07-27
7,georgetown,5.4112,100.3354,86.02,83,20,3.44,MY,2023-07-27
8,port lincoln,-34.7333,135.8667,66.06,57,96,20.47,AU,2023-07-27
9,macapa,0.0389,-51.0664,76.98,100,75,3.44,BR,2023-07-27
10,ushuaia,-54.8,-68.3,33.46,60,75,4.61,AR,2023-07-27
11,waitangi,-43.9535,-176.5597,45.82,88,88,1.99,NZ,2023-07-27
12,lompoc,34.6391,-120.4579,58.91,87,100,9.22,US,2023-07-27
13,uturoa,-16.7333,-151.4333,78.44,83,48,7.99,PF,2023-07-27
14,saudarkrokur,65.7461,-19.6394,44.87,90,14,4.38,IS,2023-07-27
15,thompson,55.7435,-97.8558,55.56,88,100,3.44,CA,2023-07-27
16,kelibia,36.8476,11.0939,75.45,73,0,4.61,TN,2023-07-27
17,khorostkiv,49.2111,25.9217,55.49,89,100,16.67,UA,2023-07-27
18,sharm el-sheikh,27.8518,34.305,87.94,40,0,8.05,EG,2023-07-27
19,port-aux-francais,-49.35,70.2167,40.14,75,93,34.87,TF,2023-07-27
20,taunggyi,20.7833,97.0333,72.63,73,97,7.02,MM,2023-07-27
21,longyearbyen,78.2186,15.6401,51.64,71,40,4.61,SJ,2023-07-27
22,enewetak,11.3474,162.3373,83.34,77,100,12.95,MH,2023-07-27
23,lihue,21.9789,-159.3672,81.14,71,40,16.11,US,2023-07-27
24,hammerfest,70.6634,23.6821,52.25,87,100,9.22,NO,2023-07-27
25,sines,37.9562,-8.8698,62.29,92,3,11.61,PT,2023-07-27
26,coquimbo,-29.9533,-71.3436,55.13,87,75,5.75,CL,2023-07-27
27,kilindoni,-7.9139,39.6668,77.31,76,85,16.73,TZ,2023-07-27
28,lorengau,-2.0226,147.2712,83.88,80,62,12.66,PG,2023-07-27
29,ribeira grande,38.5167,-28.7,72.77,96,56,8.01,PT,2023-07-27
30,vilyuchinsk,52.9306,158.4028,73.26,83,99,7.14,RU,2023-07-27
31,nabire,-3.3667,135.4833,87.76,61,78,5.08,ID,2023-07-27
32,puerto ayora,-0.7393,-90.3518,76.55,92,78,4.0,EC,2023-07-27
33,klaksvik,62.2266,-6.589,47.32,88,77,7.9,FO,2023-07-27
34,anadyr,64.75,177.4833,53.01,87,75,11.18,RU,2023-07-27
35,urucui,-7.2294,-44.5561,74.91,47,25,5.61,BR,2023-07-27
36,cadale,2.7603,46.3222,76.95,81,100,18.16,SO,2023-07-27
37,papatowai,-46.5619,169.4708,43.7,83,100,20.15,NZ,2023-07-27
38,mareeba,-17.0,145.4333,75.43,74,70,9.42,AU,2023-07-27
39,tolanaro,-25.0319,46.9987,62.67,82,75,4.61,MG,2023-07-27
40,punta arenas,-53.15,-70.9167,30.34,80,23,8.14,CL,2023-07-27
41,west island,-12.1568,96.8225,76.98,78,40,23.02,CC,2023-07-27
42,bethel,41.3712,-73.414,72.46,82,0,9.22,US,2023-07-27
43,lebu,-37.6167,-73.65,47.55,86,93,1.45,CL,2023-07-27
44,lazaro cardenas,17.9583,-102.2,81.77,78,79,4.54,MX,2023-07-27
45,pishin,30.5803,66.9961,80.28,50,5,1.54,PK,2023-07-27
46,talakan,50.3167,130.3667,87.44,41,42,2.89,RU,2023-07-27
47,remire-montjoly,4.9167,-52.2667,77.04,94,70,0.0,GF,2023-07-27
48,puerto lempira,15.2667,-83.7667,79.36,81,75,5.95,HN,2023-07-27
49,aljezur,37.3191,-8.8033,63.55,92,79,12.48,PT,2023-07-27
50,yellowknife,62.456,-114.3525,73.92,35,20,12.66,CA,2023-07-27
51,howrah,22.5892,88.3103,86.0,84,40,9.22,IN,2023-07-27
